	0	1	2
279	-1.399999976	1.299999952	0.003656751
280	-1.399999976	1.399999976	0.002960504
281	-1.399999976	1.500000000	0.002406796
282	-1.399999976	1.600000024	0.001964214
283	-1.399999976	1.700000048	0.001608786
284	-1.399999976	1.799999952	0.001322095
285	-1.399999976	1.899999976	0.001089899
286	-1.399999976	2.000000000	0.000901119
287	-1.299999952	-2.000000000	0.007254559
288	-1.299999952	-1.899999976	0.008054294
289	-1.299999952	-1.799999952	0.008960450
290	-1.299999952	-1.700000048	0.009990435
291	-1.299999952	-1.600000024	0.011165142
292	-1.299999952	-1.500000000	0.012509813
293	-1.299999952	-1.399999976	0.014055107
294	-1.299999952	-1.299999952	0.015838452
295	-1.299999952	-1.200000048	0.017905906
296	-1.299999952	-1.100000024	0.020314343
297	-1.299999952	-1.000000000	0.023134423
298	-1.299999952	-0.899999976	0.026454132
299	-1.299999952	-0.800000012	0.030382998
300	-1.299999952	-0.699999988	0.035056096
301	-1.299999952	-0.600000024	0.040636133
302	-1.299999952	-0.500000000	0.047306258
303	-1.299999952	-0.400000006	0.055235267
304	-1.299999952	-0.300000012	0.064457044
305	-1.299999952	-0.200000003	0.074490272
306	-1.299999952	-0.100000001	0.083199501
307	-1.299999952	0.000000000	0.084524214
308	-1.299999952	0.100000001	0.073809363
309	-1.299999952	0.200000003	0.058766477
310	-1.299999952	0.300000012	0.045353740
311	-1.299999952	0.400000006	0.034761041
312	-1.299999952	0.500000000	0.026696531
313	-1.299999952	0.600000024	0.020612968
314	-1.299999952	0.699999988	0.016018873
315	-1.299999952	0.800000012	0.012531776
316	-1.299999952	0.899999976	0.009867297
317	-1.299999952	1.000000000	0.007816917
318	-1.299999952	1.100000024	0.006228025
319	-1.299999952	1.200000048	0.004988460
320	-1.299999952	1.299999952	0.004015283
321	-1.299999952	1.399999976	0.003246707
322	-1.299999952	1.500000000	0.002636355
323	-1.299999952	1.600000024	0.002149161
324	-1.299999952	1.700000048	0.001758408
325	-1.299999952	1.799999952	0.001443607
326	-1.299999952	1.899999976	0.001188939
327	-1.299999952	2.000000000	0.000982117
328	-1.200000048	-2.000000000	0.008198774
329	-1.200000048	-1.899999976	0.009102954
330	-1.200000048	-1.799999952	0.010127518
331	-1.200000048	-1.700000048	0.011292152
332	-1.200000048	-1.600000024	0.012620516
333	-1.200000048	-1.500000000	0.014141185
334	-1.200000048	-1.399999976	0.015888842
335	-1.200000048	-1.299999952	0.017905906
336	-1.200000048	-1.200000048	0.020244470
337	-1.200000048	-1.100000024	0.022968972
338	-1.200000048	-1.000000000	0.026159422
339	-1.200000048	-0.899999976	0.029915467
340	-1.200000048	-0.800000012	0.034361124
341	-1.200000048	-0.699999988	0.039649423
342	-1.200000048	-0.600000024	0.045964509
343	-1.200000048	-0.500000000	0.053513654
344	-1.200000048	-0.400000006	0.062487442
345	-1.200000048	-0.300000012	0.072922379
346	-1.200000048	-0.200000003	0.084267862
347	-1.200000048	-0.100000001	0.094089374
348	-1.200000048	0.000000000	0.095486663
349	-1.200000048	0.100000001	0.083199494
350	-1.200000048	0.200000003	0.066063046
351	-1.200000048	0.300000012	0.050845455
352	-1.200000048	0.400000006	0.038868517
353	-1.200000048	0.500000000	0.029778210
354	-1.200000048	0.600000024	0.022940151
355	-1.200000048	0.699999988	0.017789733
356	-1.200000048	0.800000012	0.013889791
357	-1.200000048	0.899999976	0.010916539
358	-1.200000048	1.000000000	0.008633339
359	-1.200000048	1.100000024	0.006867497
360	-1.200000048	1.200000048	0.005492413
361	-1.200000048	1.299999952	0.004414699
362	-1.200000048	1.399999976	0.003564941
363	-1.200000048	1.500000000	0.002891156
364	-1.200000048	1.600000024	0.002354100
365	-1.200000048	1.700000048	0.001923941
366	-1.200000048	1.799999952	0.001577841
367	-1.200000048	1.899999976	0.001298195
368	-1.200000048	2.000000000	0.001071349
369	-1.100000024	-2.000000000	0.009298215
370	-1.100000024	-1.899999976	0.010324086
371	-1.100000024	-1.799999952	0.011486603
372	-1.100000024	-1.700000048	0.012808132
373	-1.100000024	-1.600000024	0.014315564
374	-1.100000024	-1.500000000	0.016041331
375	-1.100000024	-1.399999976	0.018024866
376	-1.100000024	-1.299999952	0.020314343
377	-1.100000024	-1.200000048	0.022968974
378	-1.100000024	-1.100000024	0.026061984
379	-1.100000024	-1.000000000	0.029684296
380	-1.100000024	-0.899999976	0.033949185
381	-1.100000024	-0.800000012	0.038997617
382	-1.100000024	-0.699999988	0.045003507
383	-1.100000024	-0.600000024	0.052176118
384	-1.100000024	-0.500000000	0.060750846
385	-1.100000024	-0.400000006	0.070943475
386	-1.100000024	-0.300000012	0.082793340
387	-1.100000024	-0.200000003	0.095667809
388	-1.100000024	-0.100000001	0.106779985
389	-1.100000024	0.000000000	0.108241729
390	-1.100000024	0.100000001	0.094089374
391	-1.100000024	0.200000003	0.074490272
392	-1.100000024	0.300000012	0.057161599
393	-1.100000024	0.400000006	0.043573704
394	-1.100000024	0.500000000	0.033295058
395	-1.100000024	0.600000024	0.025586700
396	-1.100000024	0.699999988	0.019797048
397	-1.100000024	0.800000012	0.015424469
398	-1.100000024	0.899999976	0.012098930
399	-1.100000024	1.000000000	0.009550961
400	-1.100000024	1.100000024	0.007584474
401	-1.100000024	1.200000048	0.006056149
402	-1.100000024	1.299999952	0.004860543
403	-1.100000024	1.399999976	0.003919459
404	-1.100000024	1.500000000	0.003174468
405	-1.100000024	1.600000024	0.002581566
406	-1.100000024	1.700000048	0.002107365
